User,Card_0_Total,Card_1_Total,Card_2_Total,Card_3_Total,Card_4_Total,Card_5_Total,Card_6_Total,Card_7_Total,Card_8_Total,Year_1991_Total,Year_1992_Total,Year_1993_Total,Year_1994_Total,Year_1995_Total,Year_1996_Total,Year_1997_Total,Year_1998_Total,Year_1999_Total,Year_2000_Total,Year_2001_Total,Year_2002_Total,Year_2003_Total,Year_2004_Total,Year_2005_Total,Year_2006_Total,Year_2007_Total,Year_2008_Total,Year_2009_Total,Year_2010_Total,Year_2011_Total,Year_2012_Total,Year_2013_Total,Year_2014_Total,Year_2015_Total,Year_2016_Total,Year_2017_Total,Year_2018_Total,Year_2019_Total,Year_2020_Total,State_International_Total,State_Online_Total,State_US_State_Total,Retirement Age,Birth Year,Gender,State,Per Capita Income - Zipcode,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards,Debt-Income ratio,FICO_Category,Digital Goods & Subscriptions,Dining & Entertainment,Education & Professional Services,Healthcare,Other,Retail,Transport,Travel & Lodging,Utilities & Home Services,Avg Credit Limit,cardtype_credit,cardtype_debit,cardtype_debit_(prepaid),cardbrand_Amex,cardbrand_Discover,cardbrand_Mastercard,cardbrand_Visa,Total Cards
0,331814.32,78233.24,284509.53,928081.34,353.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27891.46,92455.88,94781.87,92019.91,91881.24,93494.81,96205.96,91329.85,88466.05,89240.0,99227.18,95969.04,94228.85,93923.97,90046.77,92938.24,90555.05,94812.54,13523.02,20832.67,148058.45,1454100.57,66,1966,Female,CA,29278,59696,127613,787,5,2.1,Very Good,26298.93,98157.63,1909.59,8431.12,484772.42,727234.27,136904.69,2581.83,136701.21,21021.0,1,3,1,0,0,1,4,5
1,2615.26,165632.91,455399.36,52212.69,47631.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21074.81,45430.22,41510.54,35311.74,40924.4,40912.78,40854.03,52143.95,39974.52,46188.52,42054.85,40685.47,41622.41,45292.58,50847.83,45397.89,47106.49,6158.86,4905.03,57146.14,661440.72,68,1966,Female,NY,37891,77254,191349,701,5,2.5,Good,5357.09,69504.64,10615.37,9759.06,325561.67,176173.43,36720.26,6713.01,83087.36,13036.6,1,2,2,0,0,3,2,5
2,256731.28,819169.12,17211.82,126069.2,256751.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62603.95,80416.26,78504.94,76762.98,66022.36,73425.66,73105.29,80658.86,76657.35,80049.51,83115.75,86502.09,90717.09,95649.5,93036.85,85408.25,91342.79,86778.43,15175.45,5216.36,782949.78,687767.22,67,1938,Female,CA,22681,33483,196,698,5,0.0,Good,20436.75,79991.33,1039.9,5742.93,246312.6,133279.04,867325.51,5069.42,116735.88,26668.0,0,5,0,0,0,4,1,5
3,368389.88,75014.51,319386.99,423706.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8720.21,10834.93,33459.75,120564.569999999,114546.08,104559.55,114531.14,106135.64,112144.49,98942.45,114609.34,109934.68,122997.98,14516.7,77492.3,168781.79,940223.42,63,1957,Female,NY,163145,249925,202328,722,4,0.8,Good,10711.73,159212.33,37681.78,24659.88,516783.5,202931.85,83778.36,18688.64,132049.44,89081.0,1,2,1,0,0,1,3,4
4,1798790.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8486.24,90429.73,84463.01,86663.71,87807.18,88322.79,87272.14,80499.03,90068.83,85803.92,89129.41,98700.93,90864.94,81469.18,87458.81,86531.88,92866.57,91663.31,91359.37,96843.35,89293.48,12793.1,16480.93,195749.03,1586560.95,70,1976,Male,CA,53797,109687,183855,675,1,1.7,Good,4805.03,41509.01,5071.74,51891.44,798262.61,595163.87,79202.05,10545.72,212339.44,34900.0,0,1,0,0,0,1,0,1
5,658456.0,216839.96,397124.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67660.89,66250.49,69488.46,73313.55,69636.53,67798.03,73219.74,70272.78,72587.18,70656.4,71751.75,69103.93,69331.5,66403.09,70607.99,67865.12,72963.7,72313.53,11195.44,1679.37,74970.78,1195769.95,70,1977,Male,IA,20599,41997,0,704,3,0.0,Good,12714.27,81618.65,23406.83,15333.82,585243.97,386285.61,82220.89,917.05,84679.01,15762.3333333333,2,1,0,0,0,0,3,3
6,569712.74,345145.4,95876.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851.14,38198.04,62937.92,63433.38,69300.04,57456.8,62250.21,69669.55,69303.94,71681.3,69960.57,77913.88,68704.87,75057.82,71926.97,70830.56,11257.24,5508.74,366137.53,639087.96,67,1983,Female,KY,25258,51500,102286,672,3,2.0,Good,14580.6,3441.49,692.91,39533.32,260516.97,126549.02,486858.8,5300.47,73260.65,22639.0,1,2,0,0,0,3,0,3
7,12629.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12629.18,0.0,1287.68,11341.5,67,1993,Male,OR,26790,54623,114711,728,1,2.1,Good,525.88,3576.22,0.0,545.56,1851.73,3471.69,638.76,0.0,2019.34,17480.0,0,1,0,0,0,0,1,1
8,264683.99,43104.9,874720.22,255072.82,140806.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.44,95747.14,101841.61,99396.02,98280.45,103777.42,98288.07,109992.67,102809.85,110127.6,109123.97,108870.55,106422.09,105570.37,105748.8,103183.7,18626.91,13658.76,234113.23,1330616.67,66,1938,Female,PA,26273,42509,2895,755,5,0.1,Very Good,5409.95,137520.96,0.0,11198.86,553540.75,597421.95,212465.45,4078.18999999999,56752.55,20786.4,2,3,0,0,0,3,2,5
9,390637.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17111.82,36103.22,34211.26,35838.48,38497.7,35160.5,39031.56,39095.27,36749.83,36166.79,37476.51,5194.61,1590.59,36521.93,352525.03,60,1986,Female,LA,18730,38190,81262,810,1,2.1,Excellent,133.81,22523.3,695.08,7050.22,132831.52,118296.65,77216.65,309.92,31580.4,9496.0,0,1,0,0,0,1,0,1
10,3458.72,2650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6108.72,0.0,251.69,5857.03,66,1992,Male,CA,27548,56164,15224,761,2,0.3,Very Good,0.0,188.97,0.0,0.0,1920.14,3093.69,232.75,0.0,673.17,22070.0,0,2,0,0,0,0,2,2
11,7121.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7121.49,0.0,531.01,6590.48,63,1990,Female,CO,22427,45727,94016,629,1,2.1,Fair,29.37,1.86,0.0,298.95,2327.21,3573.27999999999,519.189999999999,0.0,371.63,26019.0,0,1,0,0,0,0,1,1
12,2235.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2235.94,0.0,185.38,2050.56,67,2002,Female,RI,33914,69149,89214,776,1,1.3,Very Good,31.1199999999999,171.49,0.0,0.0,671.58,1007.44,191.31,0.0,163.0,25845.0,0,1,0,0,0,1,0,1
13,144975.68,156944.17,670.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7357.31,19586.58,22403.67,22339.19,23528.2,21532.2,22762.25,21727.94,22453.77,22857.39,20517.61,21627.18,27968.47,23378.81,2549.71,303.94,56237.14,246049.2,62,1985,Male,MI,20325,41442,78833,712,3,1.9,Good,18415.13,6958.9,879.27,3214.62,180305.84,23696.71,15097.65,2068.49,51953.67,9483.0,1,2,0,0,0,1,2,3
14,703747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5734.88,59383.52,60904.25,62485.46,61905.2,61761.26,64351.31,63108.58,62314.4,66271.74,62288.77,63617.04,9620.59,0.0,43710.31,660036.69,62,1971,Female,TX,10059,20513,32509,599,1,1.6,Fair,9879.03999999999,13403.24,765.03,25844.05,427314.73,149441.14,27384.61,779.91,48935.25,4147.0,0,1,0,0,0,1,0,1
15,44727.18,380.39,78649.01,25596.22,124476.24,87843.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18558.93,17641.14,19028.8,18439.7,20425.18,19884.43,24270.41,20942.11,18879.15,19501.54,20036.19,19560.11,18535.86,19829.36,19118.84,22263.01,21130.28,20264.82,3362.9,358.49,35099.55,326214.72,68,1978,Female,OK,11342,23123,5079,723,6,0.2,Good,0.0,23076.35,0.0,11233.83,154964.52,85130.02,20298.87,1007.69,65961.48,4879.66666666666,3,2,1,0,1,2,3,6
16,79031.56,86729.05,41592.87,402223.34,84944.29,2780.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15319.93,34911.05,33404.71,33026.78,37449.94,39490.87,40812.24,41865.7,42895.17,46406.61,48405.6,42272.55,45639.03,46952.75,47022.36,45213.14,48449.79,7763.26,680.349999999999,377133.51,319487.62,71,1966,Male,TX,17898,36497,38333,719,6,1.1,Good,380.14,41783.07,100.7,31830.63,144665.29,61590.63,329989.45,2250.99,84710.58,14217.1666666666,2,4,0,0,0,4,2,6
17,119229.22,132190.51,139885.0,2240.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17965.08,21542.3299999999,23558.08,24726.43,23460.08,27792.42,24570.87,27769.6,22718.67,25442.84,27779.36,21494.64,27919.16,25049.57,25197.07,21504.16,5054.49,1906.14,50411.49,341227.22,71,1943,Female,AZ,21950,27484,16803,660,4,0.6,Fair,6255.21,40123.89,0.0,17182.39,220601.21,40532.02,19114.5,2076.78,47658.85,21011.5,1,3,0,0,1,2,1,4
18,2193.2,521.95,5593.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8309.01,0.0,1505.06,6803.95,68,1997,Male,NC,26481,53995,89056,683,3,1.6,Good,0.0,271.75,282.98,236.67,3573.3,1397.37,474.849999999999,0.0,2072.09,13438.0,1,2,0,0,1,0,2,3
19,256593.74,207894.85,560984.45,218624.22,940666.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97061.53,92898.19,98383.79,99242.72,99070.52,95063.14,96498.83,98772.74,99949.11,94730.54,100082.03,99810.61,98546.9,99964.48,104099.3,95310.8,94944.34,99403.09,101686.42,98263.95,99559.33,106311.62,15109.98,6092.21,174683.83,2003987.92,68,1953,Male,AZ,17460,35602,55369,661,5,1.6,Fair,812.0,58240.26,968.72,21668.81,1048786.09,626916.98,334358.07,3320.21,89692.82,7212.4,1,3,1,0,0,4,1,5
20,1278.55,4176.87,1508.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6964.26,0.0,616.02,6348.24,57,1991,Male,GA,12321,25122,43205,819,3,1.7,Excellent,176.97,34.28,0.0,0.0,5889.33,225.079999999999,27.08,0.0,611.52,7814.66666666666,2,1,0,0,0,1,2,3
21,7458.39,12475.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19933.82,0.0,1123.09,18810.73,65,2002,Male,CA,106305,216740,0,700,2,0.0,Good,318.03,750.29,0.0,204.57,7640.80999999999,5232.31,1577.94,0.0,4209.87,72818.5,0,2,0,0,0,1,1,2
22,420935.74,86138.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13824.64,27701.46,29605.05,25372.67,30015.72,22568.53,27400.35,31481.2,27116.77,28608.79,30066.53,28733.77,28951.42,35755.9,28220.73,26400.57,31076.93,29999.7,4173.83,1352.37,79675.67,426046.52,66,1943,Male,OH,19524,41109,21486,698,2,0.5,Good,329.55,13649.99,1395.85,8497.53,240092.22,103487.4,43559.28,3709.18,92353.56,8494.0,1,1,0,0,0,0,2,2
23,178131.48,128111.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4499.07,16201.54,17507.16,16534.43,15714.6999999999,21003.22,14102.02,17459.61,12607.81,18492.22,16686.94,16453.88,15793.28,14434.51,17749.34,16743.59,17780.6,17099.52,16154.86,3224.85,853.23,53694.16,251695.76,64,1949,Male,AR,14172,26858,11245,712,2,0.4,Good,20570.67,2677.15,496.33,3474.75,85347.05,81248.96,23071.91,472.36,88883.97,16116.0,1,1,0,1,0,1,0,2
24,3424.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3424.63,0.0,164.28,3260.35,65,1975,Male,OR,17131,34929,63849,714,1,1.8,Good,0.0,161.09,0.0,0.0,1272.01,1434.09,223.779999999999,0.0,333.66,12100.0,1,0,0,0,0,1,0,1
25,2190.92,375674.15,196476.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24022.25,55221.26,52182.5,54056.24,54787.61,57911.31,54843.07,54531.25,50865.39,52470.54,54358.32,9091.85,0.0,41256.51,533085.08,63,1983,Female,AZ,16829,34317,61826,610,3,1.8,Fair,5124.71,10269.89,1949.52,13728.95,177985.26,247220.45,63760.51,343.07,53959.23,11227.0,1,2,0,1,0,2,0,3
26,446335.39,1305.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9104.58,36488.73,33498.91,33831.11,37582.64,29422.62,31678.01,34265.35,31337.9,30182.02,34213.1,31490.57,33166.23,36514.26,4864.39,3252.0,49213.69,395174.73,66,1979,Female,TX,15389,31377,59615,722,2,1.9,Good,2232.09,6608.21,0.0,10712.61,224608.15,122621.5,35293.45,2855.49,42708.92,10700.5,1,1,0,0,0,2,0,2
27,240931.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7994.71,25065.51,22975.8,21801.3299999999,20578.47,19688.58,18762.76,20369.93,20980.5,21341.75,18253.75,20220.02,2898.71,2993.16,49707.73,188230.93,58,1982,Male,CA,21402,43638,104052,627,1,2.4,Fair,11943.41,5174.44,4942.69,8337.51,116727.2,22377.89,12932.91,434.03,58061.74,17816.0,0,1,0,0,0,0,1,1
28,195142.04,391061.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.62,26154.45,34973.09,35880.28,37245.01,38465.78,39710.84,39708.95,38233.19,39736.3,40299.63,40094.01,41299.35,43059.47,44234.7,41101.72,5485.28,0.0,69241.27,516962.4,67,1978,Male,TN,15955,32531,38260,766,2,1.2,Very Good,12525.5,17311.05,146.35,16100.0,169795.88,281981.77,22334.51,1452.03,64556.58,13603.5,1,1,0,1,0,1,0,2
29,88594.07,26725.56,192015.67,121081.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14077.77,26402.07,31885.64,32486.08,27615.4,31255.29,31230.09,28095.9,27891.46,29093.81,28170.2,26502.15,27064.47,31676.26,29526.98,5443.43,803.82,124909.51,302703.67,72,1983,Female,TN,20657,42120,72801,739,4,1.7,Good,23000.12,12083.72,0.0,9349.27,113592.6,68265.5,115818.7,1157.68999999999,85149.4,17646.75,0,4,0,0,0,4,0,4
30,2991.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2991.18,0.0,1109.37,1881.81,64,2001,Male,OH,28092,57281,89114,850,1,1.6,Excellent,0.0,326.17,0.0,0.0,557.24,372.38,1695.71,0.0,39.68,74.0,0,0,1,0,0,1,0,1
31,26023.01,340393.67,115931.54,128842.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4644.21,33768.22,37771.36,41396.4,40838.46,35284.37,42391.2,33141.68,41019.48,37826.98,30575.1,37091.9,36166.81,39822.4,35590.36,40517.31,36721.35,6623.59,2459.15,91136.73,517595.3,66,1970,Male,FL,18828,38390,87923,783,4,2.3,Very Good,8175.71,21904.19,0.0,5099.13,325767.27,136308.11,34878.76,11013.78,68044.23,19167.5,1,3,0,0,0,4,0,4
32,10422.95,50237.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2636.6,9631.15,21986.45,23232.39,3174.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.6,52560.18,69,1986,Female,NC,17498,35670,58182,751,2,1.6,Very Good,1677.84,943.26,2136.3,2948.02,26918.62,12919.6,5694.89,107.199999999999,7315.05,8850.0,2,0,0,0,0,0,2,2
33,2089.02,80905.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2760.41,38626.96,34487.84,7119.22,95.5,10572.45,72326.48,66,1998,Female,CT,30281,61746,154817,637,2,2.5,Fair,3375.91,10280.6,8282.29,1760.04,26695.74,18209.34,4065.42,559.3,9765.79,16207.5,1,1,0,0,0,1,1,2
34,164717.01,598727.49,205580.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39601.79,45077.8,44099.69,47808.71,41499.17,48980.02,42542.61,47961.76,49353.24,51926.63,54044.7,55207.92,50700.31,60474.64,54142.46,53284.8,58402.32,56359.58,59580.35,7976.33,2725.75,75579.96,890719.12,65,1972,Female,AL,21331,43496,114563,765,3,2.6,Very Good,17854.51,291544.9,33938.72,28333.78,243360.52,176031.86,60773.69,3604.33,113582.52,18086.6666666666,1,2,0,1,0,2,0,3
35,603409.73,323404.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24017.69,43359.4,69550.78,81203.98,77002.39,74504.86,89932.64,75543.42,76442.98,74436.06,80899.94,80471.94,67399.5,12048.21,3417.07,87227.89,836168.83,55,1978,Male,CA,25431,51854,72162,737,2,1.4,Good,8050.0,183598.03,5053.94,4129.49,413733.4,159177.87,51305.5,2032.85,99732.71,5440.0,0,1,1,0,0,2,0,2
36,65015.39,91270.28,68341.19,167985.87,1333.63999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4028.3,18918.49,22927.4,23398.8,21831.41,27216.25,21361.98,25086.43,25673.35,27601.08,28420.36,24439.13,24065.28,22438.31,25997.89,22969.36,24316.56,3255.99,1446.32,70419.87,322080.18,68,1968,Female,CA,16942,34540,22641,793,5,0.7,Very Good,961.26,21749.85,676.95,5684.36,184587.49,40134.33,17310.96,2038.72,120802.45,11931.8,2,2,1,0,0,4,1,5
37,156888.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.51,10476.82,19679.12,19903.32,22284.35,22546.3,19106.75,19216.31,19676.75,3374.48,1208.57,22274.79,133405.35,62,1973,Male,IL,20248,41287,88151,662,1,2.1,Fair,0.0,15377.76,0.0,7840.38,64174.99,29618.29,10201.07,729.9,28946.32,23700.0,1,0,0,1,0,0,0,1
38,105816.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152.94,34601.12,31962.4,28986.18,6113.51,489.72,20839.51,84486.92,70,1973,Male,CA,18663,38054,63293,666,1,1.7,Fair,1230.81,6663.07,12279.03,325.11,32490.71,22302.46,9131.38,249.24,21144.34,700.0,1,0,0,0,0,0,1,1
39,3122577.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106448.62,232082.08,223961.11,237130.4,219700.06,228940.52,228425.74,221678.03,236980.71,226719.19,228641.68,230762.15,235254.79,231064.92,34787.97,22670.01,243360.82,2856547.14,62,1961,Female,MA,39418,80371,108499,822,1,1.3,Excellent,31510.7,80737.74,736.56,29725.6,1287191.68,1235080.79,310164.79,5995.28,141434.83,7488.0,0,1,0,0,0,1,0,1
40,222953.87,682856.56,7447.75,1450.48,105446.91,220542.92,173099.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.99,63394.04,72955.5699999999,78835.13,6795.14,0.0,924.59,58971.13,66408.51,81016.72,77681.91,66639.1,71527.9,72335.37,81177.07,80202.25,85153.15,87524.15,81675.51,94625.18,85781.2,85884.46,13316.02,14853.51,77345.47,1321599.11,68,1929,Female,KS,51642,84694,2149,741,7,0.0,Very Good,25341.85,567343.14,11593.22,81334.56,301584.97,260035.77,49064.26,4698.68,112801.64,36568.7142857142,2,5,0,1,0,3,3,7
41,14027.64,71263.34,123374.68,201410.15,124840.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14244.52,32277.01,32128.07,33990.06,32365.96,32983.93,34273.15,37016.68,35614.8,32555.25,29998.9,30676.09,31539.04,30897.86,30433.69,28296.78,30908.85,4715.6,2921.17,90335.24,441659.83,72,1941,Male,TX,23608,37503,14272,706,5,0.4,Good,18927.23,58867.09,0.0,45734.5,133498.95,85583.54,92756.64,4760.41,94787.88,13279.2,2,2,1,0,1,2,2,5
42,627440.9,41692.96,388583.74,201669.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1953.42,58473.28,66547.72,58102.39,67911.43,67081.07,73959.08,65681.42,68475.02,75663.81,68726.95,72878.92,64393.43,74984.56,73739.4,64225.13,77912.49,75546.27,70793.96,12337.36,4943.83,195479.75,1058963.53,75,1962,Male,AZ,32056,65357,21844,685,4,0.3,Good,25761.87,123611.35,1917.71999999999,36564.23,451083.25,181386.2,178370.41,4655.55999999999,256036.52,17879.0,2,1,1,0,0,2,2,4
43,2453.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2453.01,0.0,185.32,2267.69,52,1994,Female,FL,10819,22066,38967,842,1,1.8,Excellent,0.0,287.52,0.0,579.21,532.49,575.36,67.82,0.0,410.61,9090.0,0,1,0,0,0,1,0,1
