User,Retirement Age,Birth Year,Gender,State,Per Capita Income - Zipcode,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards,Debt-Income ratio,FICO_Category
0,66,1966,Female,CA,29278,59696,127613,787,5,2.1,Very Good
1,68,1966,Female,NY,37891,77254,191349,701,5,2.5,Good
2,67,1938,Female,CA,22681,33483,196,698,5,0,Good
3,63,1957,Female,NY,163145,249925,202328,722,4,0.8,Good
4,70,1976,Male,CA,53797,109687,183855,675,1,1.7,Good
5,70,1977,Male,IA,20599,41997,0,704,3,0,Good
6,67,1983,Female,KY,25258,51500,102286,672,3,2,Good
7,67,1993,Male,OR,26790,54623,114711,728,1,2.1,Good
8,66,1938,Female,PA,26273,42509,2895,755,5,0.1,Very Good
9,60,1986,Female,LA,18730,38190,81262,810,1,2.1,Excellent
10,66,1992,Male,CA,27548,56164,15224,761,2,0.3,Very Good
11,63,1990,Female,CO,22427,45727,94016,629,1,2.1,Fair
12,67,2002,Female,RI,33914,69149,89214,776,1,1.3,Very Good
13,62,1985,Male,MI,20325,41442,78833,712,3,1.9,Good
14,62,1971,Female,TX,10059,20513,32509,599,1,1.6,Fair
15,68,1978,Female,OK,11342,23123,5079,723,6,0.2,Good
16,71,1966,Male,TX,17898,36497,38333,719,6,1.1,Good
17,71,1943,Female,AZ,21950,27484,16803,660,4,0.6,Fair
18,68,1997,Male,NC,26481,53995,89056,683,3,1.6,Good
19,68,1953,Male,AZ,17460,35602,55369,661,5,1.6,Fair
20,57,1991,Male,GA,12321,25122,43205,819,3,1.7,Excellent
21,65,2002,Male,CA,106305,216740,0,700,2,0,Good
22,66,1943,Male,OH,19524,41109,21486,698,2,0.5,Good
23,64,1949,Male,AR,14172,26858,11245,712,2,0.4,Good
24,65,1975,Male,OR,17131,34929,63849,714,1,1.8,Good
25,63,1983,Female,AZ,16829,34317,61826,610,3,1.8,Fair
26,66,1979,Female,TX,15389,31377,59615,722,2,1.9,Good
27,58,1982,Male,CA,21402,43638,104052,627,1,2.4,Fair
28,67,1978,Male,TN,15955,32531,38260,766,2,1.2,Very Good
29,72,1983,Female,TN,20657,42120,72801,739,4,1.7,Good
30,64,2001,Male,OH,28092,57281,89114,850,1,1.6,Excellent
31,66,1970,Male,FL,18828,38390,87923,783,4,2.3,Very Good
32,69,1986,Female,NC,17498,35670,58182,751,2,1.6,Very Good
33,66,1998,Female,CT,30281,61746,154817,637,2,2.5,Fair
34,65,1972,Female,AL,21331,43496,114563,765,3,2.6,Very Good
35,55,1978,Male,CA,25431,51854,72162,737,2,1.4,Good
36,68,1968,Female,CA,16942,34540,22641,793,5,0.7,Very Good
37,62,1973,Male,IL,20248,41287,88151,662,1,2.1,Fair
38,70,1973,Male,CA,18663,38054,63293,666,1,1.7,Fair
39,62,1961,Female,MA,39418,80371,108499,822,1,1.3,Excellent
40,68,1929,Female,KS,51642,84694,2149,741,7,0,Very Good
41,72,1941,Male,TX,23608,37503,14272,706,5,0.4,Good
42,75,1962,Male,AZ,32056,65357,21844,685,4,0.3,Good
43,52,1994,Female,FL,10819,22066,38967,842,1,1.8,Excellent
44,66,1977,Male,FL,21916,44681,42011,770,3,0.9,Very Good
45,69,1994,Male,MO,25163,51306,68198,675,1,1.3,Good
46,59,2002,Female,TX,12677,25847,46379,568,1,1.8,Poor
47,64,1959,Female,FL,22896,46683,93126,788,5,2,Very Good
48,66,1958,Male,WI,15487,31579,52419,771,3,1.7,Very Good
49,65,1972,Male,GA,13759,28055,12475,829,3,0.4,Excellent
50,68,1977,Female,MI,32078,65403,80057,784,4,1.2,Very Good
51,73,1964,Female,TN,13522,27572,59404,797,1,2.2,Very Good
52,70,1971,Female,SC,18899,38539,0,850,3,0,Excellent
53,57,1978,Female,WV,18666,38059,68220,634,2,1.8,Fair
